# Time Series: Chi-Chi, Taiwan 1999 - TCU068-090
# Time (s),Acceleration (g's)
3.88,0.00313936
3.885,0.00324113
3.89,0.00316161
3.895,0.00296906
3.9,0.00272736
3.905,0.00240943
3.91,0.00192278
3.915,0.00134095
3.92,7.37373E-4
3.925,9.61754E-5
3.93,-6.0185E-4
3.935,-0.00131204
3.94,-0.00189282
3.945,-0.00239978
3.95,-0.00293995
3.955,-0.00349776
3.96,-0.00405589
3.965,-0.00468113
3.97,-0.00543664
3.975,-0.00626307
3.98,-0.0070182
3.985,-0.00760909
3.99,-0.00800732
3.995,-0.00813116
4.0,-0.00797473
4.005,-0.00772114
4.01,-0.00736495
4.015,-0.00675428
4.02,-0.00588447
4.025,-0.00488253
4.03,-0.00375526
4.035,-0.00259078
4.04,-0.00145115
4.045,-3.33728E-4
4.05,6.42794E-4
4.055,0.00143604
4.06,0.00215811
4.065,0.00279747
4.07,0.00320364
4.075,0.0032697
4.08,0.00329534
4.085,0.00340315
4.09,0.00343582
4.095,0.00341193
4.1,0.00339268
4.105,0.00335913
4.11,0.00324931
4.115,0.00304311
4.12,0.00279869
4.125,0.00248435
4.13,0.00223319
4.135,0.00206431
4.14,0.00190831
4.145,0.00169482
4.15,0.00142704
4.155,0.00115928
4.16,0.00100193
4.165,9.35787E-4
4.17,8.56325E-4
4.175,6.01384E-4
4.18,2.92149E-4
4.185,3.06274E-5
4.19,-2.48578E-4
4.195,-4.95445E-4
4.2,-4.96006E-4
4.205,-2.72022E-4
4.21,7.71053E-5
4.215,5.1132E-4
4.22,9.50271E-4
4.225,0.00138635
4.23,0.00182275
4.235,0.00225877
4.24,0.00267548
4.245,0.0029578
4.25,0.00309288
4.255,0.00316983
4.26,0.00329512
4.265,0.00347239
4.27,0.00357903
4.275,0.00350127
4.28,0.00339948
4.285,0.00332156
4.29,0.00294853
4.295,0.00234868
4.3,0.00184932
4.305,0.00145482
4.31,0.0011126
4.315,9.30734E-4
4.32,9.12625E-4
4.325,9.4893E-4
4.33,9.39445E-4
4.335,9.0167E-4
4.34,9.30009E-4
4.345,0.0011399
4.35,0.00145673
4.355,0.00174413
4.36,0.00210128
4.365,0.00260423
4.37,0.00321654
4.375,0.00392641
4.38,0.00471339
4.385,0.00543549
4.39,0.00596139
4.395,0.00624339
4.4,0.00642735
4.405,0.00674339
4.41,0.00711758
4.415,0.00737451
4.42,0.00751343
4.425,0.00758575
4.43,0.00755454
4.435,0.00739874
4.44,0.00715619
4.445,0.00690996
4.45,0.00661859
4.455,0.00611758
4.46,0.00542431
4.465,0.00459762
4.47,0.00358107
4.475,0.0024572
4.48,0.00139244
4.485,4.34709E-4
4.49,-4.10728E-4
4.495,-0.00117345
4.5,-0.00170781
4.505,-0.00199225
4.51,-0.0021379
4.515,-0.00209469
4.52,-0.00189931
4.525,-0.00157361
4.53,-0.00109321
4.535,-5.48516E-4
4.54,6.32209E-5
4.545,7.10616E-4
4.55,0.00139592
4.555,0.00202712
4.56,0.0025186
4.565,0.00277658
4.57,0.00277738
4.575,0.00256069
4.58,0.0023974
4.585,0.00228041
4.59,0.0020772
4.595,0.00187828
4.6,0.0017951
4.605,0.00179766
4.61,0.00180062
4.615,0.00173904
4.62,0.00168444
4.625,0.00185954
4.63,0.00220969
4.635,0.00242434
4.64,0.00234489
4.645,0.00212804
4.65,0.00185521
4.655,0.0016084
4.66,0.00154962
4.665,0.00165133
4.67,0.0017722
4.675,0.00191312
4.68,0.00232728
4.685,0.00298309
4.69,0.00357432
4.695,0.00406246
4.7,0.00458015
4.705,0.00517915
4.71,0.00568469
4.715,0.00606493
4.72,0.00645814
4.725,0.00685647
4.73,0.00720484
4.735,0.00742547
4.74,0.00739146
4.745,0.00713804
4.75,0.00660773
4.755,0.00583656
4.76,0.00494276
4.765,0.00390462
4.77,0.00278044
4.775,0.00176607
4.78,0.00118066
4.785,0.00104374
4.79,0.00115571
4.795,0.00133759
4.8,0.00156227
4.805,0.00189598
4.81,0.00221267
4.815,0.00239693
4.82,0.00244134
4.825,0.0023595
4.83,0.00216098
4.835,0.00205673
4.84,0.00207995
4.845,0.00215424
4.85,0.00235146
4.855,0.00280846
4.86,0.00360468
4.865,0.00465618
4.87,0.00575029
4.875,0.00682592
4.88,0.00793123
4.885,0.00901235
4.89,0.0100829
4.895,0.0111177
4.9,0.0121247
4.905,0.0130291
4.91,0.0136312
4.915,0.0139703
4.92,0.0142732
4.925,0.0146375
4.93,0.014895
4.935,0.0149574
4.94,0.0148733
4.945,0.014611
4.95,0.0140646
4.955,0.0133024
4.96,0.0125562
4.965,0.0116779
4.97,0.0103903
4.975,0.00877435
4.98,0.00708045
4.985,0.00520315
4.99,0.00292566
4.995,3.60375E-4
5.0,-0.00219125
5.005,-0.00448093
5.01,-0.00651105
5.015,-0.0083367
5.02,-0.00981844
5.025,-0.0108731
5.03,-0.011551
5.035,-0.0117718
5.04,-0.0115187
5.045,-0.0108812
5.05,-0.00990668
5.055,-0.00878414
5.06,-0.00764331
5.065,-0.00655419
5.07,-0.00568739
5.075,-0.00517675
5.08,-0.00498425
5.085,-0.00517959
5.09,-0.00581585
5.095,-0.00658479
5.1,-0.00732857
5.105,-0.00811576
5.11,-0.00900477
5.115,-0.00989655
5.12,-0.0107667
5.125,-0.0117223
5.13,-0.0126552
5.135,-0.013513
5.14,-0.014262
5.145,-0.0147849
5.15,-0.0150311
5.155,-0.0149974
5.16,-0.0146234
5.165,-0.0139577
5.17,-0.0132292
5.175,-0.0124236
5.18,-0.0114587
5.185,-0.0104221
5.19,-0.00949991
5.195,-0.00869014
5.2,-0.0078296
5.205,-0.00691719
5.21,-0.00602847
5.215,-0.00528607
5.22,-0.00476514
5.225,-0.00416168
5.23,-0.00342101
5.235,-0.00281256
5.24,-0.00255297
5.245,-0.00257532
5.25,-0.00276955
5.255,-0.00315794
5.26,-0.00380452
5.265,-0.00461788
5.27,-0.00566374
5.275,-0.0069863
5.28,-0.00831963
5.285,-0.00954936
5.29,-0.0107121
5.295,-0.0118641
5.3,-0.0129014
5.305,-0.0136688
5.31,-0.014241
5.315,-0.0145829
5.32,-0.014795
5.325,-0.0149408
5.33,-0.0150656
5.335,-0.0152785
5.34,-0.015488
5.345,-0.0157865
5.35,-0.0163635
5.355,-0.0172138
5.36,-0.0182931
5.365,-0.0194866
5.37,-0.0207844
5.375,-0.0220076
5.38,-0.022933
5.385,-0.0236487
5.39,-0.0242148
5.395,-0.0244662
5.4,-0.0242318
5.405,-0.0236501
5.41,-0.0228811
5.415,-0.0218733
5.42,-0.0206608
5.425,-0.0194064
5.43,-0.0181558
5.435,-0.0169139
5.44,-0.0156083
5.445,-0.0142823
5.45,-0.0131224
5.455,-0.0122308
5.46,-0.0115076
5.465,-0.0107333
5.47,-0.00997926
5.475,-0.00940034
5.48,-0.00883077
5.485,-0.00803447
5.49,-0.00718037
5.495,-0.00636863
5.5,-0.00554409
5.505,-0.00468897
5.51,-0.00375146
5.515,-0.00292986
5.52,-0.00234227
5.525,-0.0017578
5.53,-0.00104679
5.535,-3.06721E-4
5.54,3.51711E-4
5.545,9.01134E-4
5.55,0.00126583
5.555,0.00131882
5.56,0.00104783
5.565,7.09132E-4
5.57,3.2354E-4
5.575,-2.01832E-4
5.58,-7.69776E-4
5.585,-0.00141391
5.59,-0.00219311
5.595,-0.00295313
5.6,-0.00362906
5.605,-0.00429326
5.61,-0.0049274
5.615,-0.00560097
5.62,-0.00631504
5.625,-0.00713351
5.63,-0.00813269
5.635,-0.00931739
5.64,-0.0105882
5.645,-0.0118577
5.65,-0.0132654
5.655,-0.0148302
5.66,-0.0163295
5.665,-0.0174987
5.67,-0.0185752
5.675,-0.0196211
5.68,-0.0201105
5.685,-0.0197926
5.69,-0.0190402
5.695,-0.0181836
5.7,-0.0172022
5.705,-0.0160333
5.71,-0.0147561
5.715,-0.0133894
5.72,-0.0118862
5.725,-0.0103647
5.73,-0.0090303
5.735,-0.00790714
5.74,-0.00687226
5.745,-0.0058811
5.75,-0.00505581
5.755,-0.00459462
5.76,-0.00455963
5.765,-0.00492116
5.77,-0.00562866
5.775,-0.00641563
5.78,-0.007052
5.785,-0.00772957
5.79,-0.00864343
5.795,-0.00952125
5.8,-0.0101475
5.805,-0.0106681
5.81,-0.0111504
5.815,-0.0115499
5.82,-0.0118851
5.825,-0.012053
5.83,-0.0118998
5.835,-0.0113677
5.84,-0.0105073
5.845,-0.00934243
5.85,-0.00778904
5.855,-0.00573225
5.86,-0.0031929
5.865,-3.34673E-4
5.87,0.00262376
5.875,0.00574374
5.88,0.00911877
5.885,0.0125833
5.89,0.0160795
5.895,0.019579
5.9,0.0229712
5.905,0.0262545
5.91,0.0292901
5.915,0.0320395
5.92,0.034567
5.925,0.0367741
5.93,0.0386329
5.935,0.0402493
5.94,0.0416697
5.945,0.0427891
5.95,0.0436143
5.955,0.0444209
5.96,0.0451026
5.965,0.0452878
5.97,0.0448675
5.975,0.0440385
5.98,0.0429068
5.985,0.0413428
5.99,0.0392038
5.995,0.036529
6.0,0.0333976
6.005,0.0298321
6.01,0.0258507
6.015,0.0216683
6.02,0.0173829
6.025,0.0131038
6.03,0.0089898
6.035,0.00509998
6.04,0.00134969
6.045,-0.00230133
6.05,-0.00591499
6.055,-0.00948066
6.06,-0.0129071
6.065,-0.0161125
6.07,-0.0190909
6.075,-0.0217184
6.08,-0.0237867
6.085,-0.0252621
6.09,-0.0262563
6.095,-0.0265986
6.1,-0.0260738
6.105,-0.0246638
6.11,-0.0224957
6.115,-0.0195261
6.12,-0.0156409
6.125,-0.0110477
6.13,-0.00588914
6.135,-4.38245E-4
6.14,0.0049374
6.145,0.0100908
6.15,0.0149752
6.155,0.0195099
6.16,0.0237587
6.165,0.0277247
6.17,0.0312642
6.175,0.0342976
6.18,0.036979
6.185,0.039585
6.19,0.0418696
6.195,0.0435125
6.2,0.0446186
6.205,0.0453232
6.21,0.0455835
6.215,0.0453368
6.22,0.0446153
6.225,0.0435139
6.23,0.0422612
6.235,0.0409201
6.24,0.039419
6.245,0.0378142
6.25,0.0363143
6.255,0.0350246
6.26,0.033917
6.265,0.0327824
6.27,0.0314852
6.275,0.0301976
6.28,0.0291009
6.285,0.02816
