# Time Series: Kocaeli, Turkey 1999 - ATS-090
# Time (s),Acceleration (g's)
4.86,-0.0120944
4.865,-0.010959
4.87,-0.00949337
4.875,-0.0075701
4.88,-0.00529224
4.885,-0.00294248
4.89,-7.72681E-4
4.895,0.00108613
4.9,0.0026621
4.905,0.00406986
4.91,0.00517136
4.915,0.00566987
4.92,0.00542681
4.925,0.00461422
4.93,0.00359268
4.935,0.00249666
4.94,0.00127918
4.945,1.59309E-4
4.95,-5.87323E-4
4.955,-0.00108798
4.96,-0.00172435
4.965,-0.00280005
4.97,-0.00434001
4.975,-0.00610353
4.98,-0.00782139
4.985,-0.00947243
4.99,-0.0110866
4.995,-0.012431
5.0,-0.0132267
5.005,-0.0134699
5.01,-0.0133405
5.015,-0.0129706
5.02,-0.0125161
5.025,-0.0120533
5.03,-0.0115008
5.035,-0.0106995
5.04,-0.00954704
5.045,-0.00814023
5.05,-0.0065944
5.055,-0.00491639
5.06,-0.00315335
5.065,-0.00144556
5.07,1.75469E-4
5.075,0.00187313
5.08,0.00369403
5.085,0.00534614
5.09,0.0064511
5.095,0.00689519
5.1,0.00688795
5.105,0.00667466
5.11,0.00642135
5.115,0.00612692
5.12,0.00573961
5.125,0.00527834
5.13,0.00469318
5.135,0.00397353
5.14,0.00315412
5.145,0.0023443
5.15,0.00166581
5.155,0.00107293
5.16,4.78653E-4
5.165,1.03143E-4
5.17,4.35497E-4
5.175,0.00168655
5.18,0.00345937
5.185,0.0052802
5.19,0.00711907
5.195,0.0091122
5.2,0.0112418
5.205,0.0133168
5.21,0.0152487
5.215,0.017151
5.22,0.0191128
5.225,0.0209646
5.23,0.0224224
5.235,0.023306
5.24,0.0236617
5.245,0.0236927
5.25,0.0234583
5.255,0.0228576
5.26,0.0219305
5.265,0.0208754
5.27,0.0198683
5.275,0.0187802
5.28,0.0172761
5.285,0.0151541
5.29,0.0125416
5.295,0.00972729
5.3,0.00696604
5.305,0.00432497
5.31,0.00173455
5.315,-7.53268E-4
5.32,-0.00295223
5.325,-0.00486328
5.33,-0.00661229
5.335,-0.00825676
5.34,-0.00974967
5.345,-0.0109234
5.35,-0.0115743
